SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
241675,INFINIX SMART 9(3/128),,PHONES,AWKA ,140000.0,1.0,140900.0,140000.0,900.0,1.0,0.0,0.0,,,,
245322,ITEL 5082,,PHONES,OWERRI 2 ,22000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
245323,TECNO 302,,PHONES,OWERRI 2 ,20000.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,
245323,TECNO 302,,PHONES,IMSU ,20000.0,2.0,35400.0,40000.0,4600.0,0.0,0.0,0.0,,,,
245323,TECNO 302,,PHONES,AWKA ,20000.0,2.0,32400.0,40000.0,7600.0,28.0,5.0,0.0,,,,
245323,TECNO 302,,PHONES,IMT ,20000.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,
247200,TECNO SPARK 30C(4/128GB),,PHONES,AWKA ,158000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
247201,INFINIX HOT 50i (4/128gb),,PHONES,AWKA ,158000.0,2.0,303300.0,316000.0,12700.0,1.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ALVAN 1 ,100.0,187.5,18748.55,18750.0,1.45,9839.0,873.5,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,IGWURUTA ,100.0,506.0,50600.0,50600.0,0.0,4494.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ELELE ,100.0,1770.0,177000.0,177000.0,0.0,6230.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ALVAN 2 ,100.0,185.0,18501.45,18500.0,1.45,2618.5,270.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,OKIGWE ,100.0,495.0,49500.0,49500.0,0.0,2705.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,MBAITOLI ,100.0,386.0,38600.0,38600.0,0.0,10114.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,OKIGWE HUB,100.0,778.0,77800.0,77800.0,0.0,9223.5,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,IHIALA  ,100.0,1856.0,185600.0,185600.0,0.0,8441.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,IGBARIAM ,100.0,315.5,31550.0,31550.0,0.0,1684.5,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,EBU AWKA,100.0,1500.0,150000.0,150000.0,0.0,26004.5,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ULI ,100.0,0.0,0.0,0.0,0.0,2703.0,297.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,OWERRI 2 ,100.0,5236.0,523600.0,523600.0,0.0,45391.5,2900.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,OKO ,100.0,524.0,52400.0,52400.0,0.0,1976.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,UNIZIK 2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,AWKA ,100.0,11193.5,1119350.0,1119350.0,0.0,51950.5,36900.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ESUT ,100.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,IMT ,100.0,140.2,14019.75,14020.0,0.25,1559.8,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,UMUAGWO ,100.0,490.0,49000.0,49000.0,0.0,1760.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,STATE SEC ,100.0,407.0,40700.0,40700.0,0.0,3243.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,AIRPORT ,100.0,637.0,63700.0,63700.0,0.0,38363.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,IMSU ,100.0,427.0,42700.0,42700.0,0.0,6973.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ULAKWO ,100.0,367.0,36700.0,36700.0,0.0,6733.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,NEKEDE ,100.0,150.0,15000.0,15000.0,0.0,7750.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,OANDO ,100.0,174.5,17450.0,17450.0,0.0,1325.5,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,UNIZIK 1,100.0,547.0,54700.0,54700.0,0.0,10153.0,0.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ONITSHA 2 ,100.0,10291.0,1029100.0,1029100.0,0.0,48129.0,44700.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,ALAKAHIA ,100.0,7190.0,719000.0,719000.0,0.0,94832.0,13000.0,0.0,,,,
249196,MOMO HEAD OFFICE,,MOMO,HEAD OFFICE,100.0,0.0,0.0,0.0,0.0,31689.0,0.0,0.0,,,,
261734,SAMSUNG A1659 (4/128)GB,,PHONES,OWERRI 2 ,280000.0,1.0,267900.0,280000.0,12100.0,0.0,0.0,0.0,,,,
453768,itel 6350,,PHONES,OWERRI 2 ,17000.0,1.0,15300.0,17000.0,1700.0,9.0,0.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,ONITSHA 2 ,100.0,6688.0,645371.936,668800.0,23428.064,151083.0,61100.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,ALAKAHIA ,100.0,39000.0,3771335.0,3900000.0,128665.0,490779.0,78271.0,1000.0,,,,
LOGICAL 100,N100,,LOGICALS,OKIGWE HUB,100.0,1280.0,123516.16,128000.0,4483.84,10220.0,0.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,AWKA ,100.0,1000.0,96497.0,100000.0,3503.0,35260.0,52575.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,UMUAKA ,100.0,0.0,0.0,0.0,0.0,4707.0,583.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,ALVAN 2 ,100.0,65.0,6272.305,6500.0,227.695,6275.0,750.0,0.0,,,,
LOGICAL 100,N100,,LOGICALS,OKO ,100.0,623.0,60117.631,62300.0,2182.369,5343.0,0.0,7.0,,,,
